name,ring,quadrant,isNew,description
.NET,adopt,languages & frameworks,TRUE,
.NET Core,adopt,languages & frameworks,TRUE,
ASP.NET MVC,adopt,languages & frameworks,TRUE,
Autofac,adopt,languages & frameworks,TRUE,
Autofixture,adopt,languages & frameworks,TRUE,
C#,adopt,languages & frameworks,TRUE,
Dapper,adopt,languages & frameworks,TRUE,
Enzyme,adopt,languages & frameworks,TRUE,
Gherkin,adopt,languages & frameworks,TRUE,
Javascript,adopt,languages & frameworks,TRUE,
Moq,adopt,languages & frameworks,TRUE,
MVVM,adopt,languages & frameworks,TRUE,
Nodejs,adopt,languages & frameworks,TRUE,
Oneof,adopt,languages & frameworks,TRUE,
Polly,adopt,languages & frameworks,TRUE,
React,adopt,languages & frameworks,TRUE,
Redux,adopt,languages & frameworks,TRUE,
SASS,adopt,languages & frameworks,TRUE,
Serilog,adopt,languages & frameworks,TRUE,
Specflow,adopt,languages & frameworks,TRUE,
SQL,adopt,languages & frameworks,TRUE,
Tailor,adopt,languages & frameworks,TRUE,
Web API,adopt,languages & frameworks,TRUE,
Webpack,adopt,languages & frameworks,TRUE,
WPF,adopt,languages & frameworks,TRUE,
F#,assess,languages & frameworks,TRUE,
Open Tracing (Correlation),assess,languages & frameworks,TRUE,
SQL Server Integration Services,assess,languages & frameworks,TRUE,
.NET Framework,hold,languages & frameworks,TRUE,
Entity Framework,hold,languages & frameworks,TRUE,
Groovy,hold,languages & frameworks,TRUE,
JQuery,hold,languages & frameworks,TRUE,
PHP,hold,languages & frameworks,TRUE,
Razor,hold,languages & frameworks,TRUE,
Restsharp,hold,languages & frameworks,TRUE,
SOAP,hold,languages & frameworks,TRUE,
Specflow,hold,languages & frameworks,TRUE,
WCF,hold,languages & frameworks,TRUE,
WPF,hold,languages & frameworks,TRUE,
.NET Standard,trial,languages & frameworks,TRUE,
Automapper,trial,languages & frameworks,TRUE,
FakeItEasy,trial,languages & frameworks,TRUE,
Google Geolocation API,adopt,languages & frameworks,TRUE,
Matplotlib,trial,languages & frameworks,TRUE,
NumPy,trial,languages & frameworks,TRUE,
Postcode Anywhere,adopt,languages & frameworks,TRUE,
Python,trial,languages & frameworks,TRUE,
TensorFlow,trial,languages & frameworks,TRUE,
TypeScript,trial,languages & frameworks,TRUE,
ASP.NET Core,adopt,platforms,TRUE,
AWS,adopt,platforms,TRUE,
Docker,adopt,platforms,TRUE,
DynamoDB,adopt,platforms,TRUE,
EC2,adopt,platforms,TRUE,
ECS,adopt,platforms,TRUE,
Elastic Beanstalk,adopt,platforms,TRUE,
Lambda,adopt,platforms,TRUE,
Route 53,adopt,platforms,TRUE,
S3,adopt,platforms,TRUE,
SQS,adopt,platforms,TRUE,
Kubernetes,assess,platforms,TRUE,
Secrets Management,assess,platforms,TRUE,
Zeit Now,assess,platforms,TRUE,
Azure,hold,platforms,TRUE,
Couchbase,hold,platforms,TRUE,
AppHarbor,trial,platforms,TRUE,
AWS Secrets Manager,trial,platforms,TRUE,
Azure Service Bus,trial,platforms,TRUE,
Elasticache,trial,platforms,TRUE,
Fargate,trial,platforms,TRUE,
Heroku,trial,platforms,TRUE,
Rekognition,trial,platforms,TRUE,
Acceptance Testing,adopt,techniques,TRUE,
Alerting,adopt,techniques,TRUE,
Classicist TDD,adopt,techniques,TRUE,
Code Reviews,adopt,techniques,TRUE,
Design Sessions,adopt,techniques,TRUE,
Discuss and act on feedback,adopt,techniques,TRUE,
Face to Face Communication over Chat,adopt,techniques,TRUE,
Fluent Assertions,adopt,techniques,TRUE,
Kanban,adopt,techniques,TRUE,
LDRs in Github,adopt,techniques,TRUE,
Microservices,adopt,techniques,TRUE,
Mobbing,adopt,techniques,TRUE,
Mobile First Approach,adopt,techniques,TRUE,
Monitoring,adopt,techniques,TRUE,
Pairing,adopt,techniques,TRUE,
Postman Packs in Source Control,adopt,techniques,TRUE,
Request Correlation,adopt,techniques,TRUE,
Restful APIs,adopt,techniques,TRUE,
Scrum,adopt,techniques,TRUE,
Shared Resharper Settings,adopt,techniques,TRUE,
Smoke Tests,adopt,techniques,TRUE,
SOLID,adopt,techniques,TRUE,
SQS -> Lambda,adopt,techniques,TRUE,
SQS Journal (S3),adopt,techniques,TRUE,
Structured Logging,adopt,techniques,TRUE,
TDD,adopt,techniques,TRUE,
Unit Testing,adopt,techniques,TRUE,
Graph Databases,assess,techniques,TRUE,
Machine Learning,assess,techniques,TRUE,
Mono-repo,assess,techniques,TRUE,
Pure Dependency Injection,assess,techniques,TRUE,
Structured Data in SQL,assess,techniques,TRUE,
Performance Testing,trial,techniques,TRUE,
